DateTime,Open,High,Low,Close,Volume
2025-06-02 09:15:00+05:30,170.59,172.54,169.53,171.83,669235
2025-06-02 09:30:00+05:30,171.8,173.85,171.62,173.68,1059327
2025-06-02 09:45:00+05:30,173.8,174.18,173.4,173.94,813868
2025-06-02 10:00:00+05:30,173.92,175.21,173.85,174.84,1510440
2025-06-02 10:15:00+05:30,174.9,174.94,173.7,173.9,494599
2025-06-02 10:30:00+05:30,173.83,174.0,173.0,173.5,422525
2025-06-02 10:45:00+05:30,173.58,173.59,173.02,173.12,222732
2025-06-02 11:00:00+05:30,173.2,173.49,173.02,173.49,185439
2025-06-02 11:15:00+05:30,173.48,173.5,172.5,172.7,322612
2025-06-02 11:30:00+05:30,172.7,172.94,172.46,172.75,111597
2025-06-02 11:45:00+05:30,172.75,173.14,172.73,173.05,89914
2025-06-02 12:00:00+05:30,173.05,173.25,172.82,172.97,129059
2025-06-02 12:15:00+05:30,172.98,173.0,172.32,172.56,178921
2025-06-02 12:30:00+05:30,172.51,172.98,172.44,172.9,157800
2025-06-02 12:45:00+05:30,172.98,173.1,172.4,172.41,143576
2025-06-02 13:00:00+05:30,172.43,173.1,172.43,173.0,113488
2025-06-02 13:15:00+05:30,173.05,173.15,172.81,172.95,62109
2025-06-02 13:30:00+05:30,172.94,173.06,172.7,172.96,138421
2025-06-02 13:45:00+05:30,173.0,173.6,172.9,173.29,174400
2025-06-02 14:00:00+05:30,173.28,173.4,172.56,172.8,115652
2025-06-02 14:15:00+05:30,172.82,172.86,172.3,172.54,230352
2025-06-02 14:30:00+05:30,172.5,172.69,171.9,172.21,297602
2025-06-02 14:45:00+05:30,172.25,172.8,172.16,172.79,137394
2025-06-02 15:00:00+05:30,172.8,173.0,172.58,172.71,222947
2025-06-02 15:15:00+05:30,172.7,172.96,172.31,172.39,571178
2025-06-03 09:15:00+05:30,173.75,173.95,171.19,172.77,706443
2025-06-03 09:30:00+05:30,172.64,173.26,172.6,172.92,247317
2025-06-03 09:45:00+05:30,172.94,173.13,172.68,172.81,125545
2025-06-03 10:00:00+05:30,172.89,173.27,172.45,172.71,184581
2025-06-03 10:15:00+05:30,172.65,172.83,172.25,172.3,129882
2025-06-03 10:30:00+05:30,172.31,172.66,172.06,172.45,83875
2025-06-03 10:45:00+05:30,172.45,172.6,172.0,172.05,60878
2025-06-03 11:00:00+05:30,172.01,172.19,171.45,171.53,147200
2025-06-03 11:15:00+05:30,171.53,171.61,170.75,171.19,251046
2025-06-03 11:30:00+05:30,171.19,171.2,170.75,171.08,70265
2025-06-03 11:45:00+05:30,171.0,171.54,170.87,171.52,80428
2025-06-03 12:00:00+05:30,171.52,171.52,171.03,171.05,42743
2025-06-03 12:15:00+05:30,171.06,171.13,170.4,170.87,110646
2025-06-03 12:30:00+05:30,170.8,171.23,170.76,171.18,83701
2025-06-03 12:45:00+05:30,171.18,171.18,170.5,170.55,65993
2025-06-03 13:00:00+05:30,170.62,170.69,170.21,170.58,130923
2025-06-03 13:15:00+05:30,170.58,170.79,170.38,170.72,89958
2025-06-03 13:30:00+05:30,170.79,171.0,170.46,170.48,56106
2025-06-03 13:45:00+05:30,170.51,170.61,170.11,170.26,87142
2025-06-03 14:00:00+05:30,170.26,170.45,170.01,170.4,70112
2025-06-03 14:15:00+05:30,170.4,170.45,170.08,170.1,63541
2025-06-03 14:30:00+05:30,170.1,170.74,170.0,170.6,128807
2025-06-03 14:45:00+05:30,170.54,170.8,170.5,170.69,68374
2025-06-03 15:00:00+05:30,170.78,170.79,169.86,170.14,220063
2025-06-03 15:15:00+05:30,170.1,170.2,169.5,169.5,340905
2025-06-04 09:15:00+05:30,169.9,169.95,168.12,168.21,725238
2025-06-04 09:30:00+05:30,168.25,168.4,167.1,167.15,506018
2025-06-04 09:45:00+05:30,167.15,167.35,166.31,166.95,413459
2025-06-04 10:00:00+05:30,166.94,167.8,166.71,167.5,232504
2025-06-04 10:15:00+05:30,167.5,167.8,167.25,167.7,161469
2025-06-04 10:30:00+05:30,167.74,168.58,167.64,168.5,275838
2025-06-04 10:45:00+05:30,168.5,169.3,168.4,169.2,308564
2025-06-04 11:00:00+05:30,169.24,169.62,169.22,169.25,229770
2025-06-04 11:15:00+05:30,169.3,169.37,168.61,169.0,162018
2025-06-04 11:30:00+05:30,169.05,169.34,168.91,168.97,97502
2025-06-04 11:45:00+05:30,168.99,169.25,168.38,168.45,142668
2025-06-04 12:00:00+05:30,168.5,169.03,168.21,168.82,155083
2025-06-04 12:15:00+05:30,168.87,168.97,168.63,168.69,64605
2025-06-04 12:30:00+05:30,168.79,168.99,168.53,168.91,84791
2025-06-04 12:45:00+05:30,168.99,169.16,168.75,168.91,100472
2025-06-04 13:00:00+05:30,168.95,169.2,168.9,168.98,54146
2025-06-04 13:15:00+05:30,169.03,169.05,168.6,168.85,51455
2025-06-04 13:30:00+05:30,168.92,169.0,168.6,168.62,65236
2025-06-04 13:45:00+05:30,168.68,168.75,168.32,168.66,129761
2025-06-04 14:00:00+05:30,168.7,168.99,168.44,168.81,132364
2025-06-04 14:15:00+05:30,168.8,169.1,168.8,168.87,94482
2025-06-04 14:30:00+05:30,168.87,169.29,168.87,169.25,117142
2025-06-04 14:45:00+05:30,169.25,169.25,168.95,169.09,97938
2025-06-04 15:00:00+05:30,169.07,169.39,168.98,169.0,143047
2025-06-04 15:15:00+05:30,168.99,169.23,168.8,169.0,302557
2025-06-05 09:15:00+05:30,169.6,170.65,169.26,169.45,490853
2025-06-05 09:30:00+05:30,169.4,169.4,168.6,168.71,340490
2025-06-05 09:45:00+05:30,168.75,169.12,168.46,168.7,178403
2025-06-05 10:00:00+05:30,168.7,169.11,168.31,168.52,157105
2025-06-05 10:15:00+05:30,168.45,168.65,167.7,168.16,252642
2025-06-05 10:30:00+05:30,168.15,168.23,167.65,168.05,345925
2025-06-05 10:45:00+05:30,168.1,168.12,167.15,167.25,312197
2025-06-05 11:00:00+05:30,167.25,167.79,167.22,167.71,177253
2025-06-05 11:15:00+05:30,167.71,168.16,167.64,168.0,118090
2025-06-05 11:30:00+05:30,168.05,168.15,167.65,167.74,171906
2025-06-05 11:45:00+05:30,167.74,168.09,167.68,168.0,303179
2025-06-05 12:00:00+05:30,168.03,168.2,167.6,167.6,167592
2025-06-05 12:15:00+05:30,167.68,167.8,167.37,167.8,175983
2025-06-05 12:30:00+05:30,167.8,167.8,167.3,167.33,257711
