DateTime,Open,High,Low,Close,Volume
2025-01-06 09:15:00+05:30,158.5,159.8,155.59,156.35,3928914
2025-01-06 10:15:00+05:30,156.37,156.59,153.87,154.0,2125966
2025-01-06 11:15:00+05:30,154.0,154.72,153.15,153.89,1387170
2025-01-06 12:15:00+05:30,153.89,154.3,153.06,153.56,907451
2025-01-06 13:15:00+05:30,153.62,153.62,152.35,152.45,1087711
2025-01-06 14:15:00+05:30,152.42,153.1,151.16,151.4,2089099
2025-01-06 15:15:00+05:30,151.43,152.0,151.16,151.96,1062743
2025-01-07 09:15:00+05:30,152.25,154.5,152.02,153.64,2844410
2025-01-07 10:15:00+05:30,153.65,154.4,153.05,154.01,774119
2025-01-07 11:15:00+05:30,154.01,154.69,153.9,154.31,778881
2025-01-07 12:15:00+05:30,154.3,154.62,153.85,154.01,786400
2025-01-07 13:15:00+05:30,154.01,154.59,153.33,154.46,907096
2025-01-07 14:15:00+05:30,154.46,155.36,154.26,154.87,1374165
2025-01-07 15:15:00+05:30,154.87,155.17,154.75,154.81,874058
2025-01-08 09:15:00+05:30,154.47,154.56,153.19,154.1,1250827
2025-01-08 10:15:00+05:30,154.1,154.25,152.3,152.6,1127988
2025-01-08 11:15:00+05:30,152.61,152.86,150.84,151.34,1918707
2025-01-08 12:15:00+05:30,151.34,151.38,150.91,151.01,923054
2025-01-08 13:15:00+05:30,151.07,151.59,150.65,151.16,1299023
2025-01-08 14:15:00+05:30,151.17,151.99,151.11,151.76,2204589
2025-01-08 15:15:00+05:30,151.75,151.87,151.5,151.8,635799
2025-01-09 09:15:00+05:30,151.72,152.9,151.35,152.59,2049467
2025-01-09 10:15:00+05:30,152.6,152.61,150.51,150.68,753623
2025-01-09 11:15:00+05:30,150.7,152.6,150.34,150.96,2096598
2025-01-09 12:15:00+05:30,151.0,151.29,150.28,150.41,798841
2025-01-09 13:15:00+05:30,150.49,150.62,149.71,149.85,899702
2025-01-09 14:15:00+05:30,149.85,150.0,148.62,148.88,1372440
2025-01-09 15:15:00+05:30,148.88,149.06,148.5,148.8,897919
2025-01-10 09:15:00+05:30,149.94,150.0,144.1,145.78,4145134
2025-01-10 10:15:00+05:30,145.77,146.7,145.32,145.99,1978397
2025-01-10 11:15:00+05:30,145.98,146.35,144.48,144.96,1690583
2025-01-10 12:15:00+05:30,144.91,145.15,144.31,144.92,761570
2025-01-10 13:15:00+05:30,144.85,145.31,143.61,143.63,1901020
2025-01-10 14:15:00+05:30,143.63,144.44,143.25,143.92,1731138
2025-01-10 15:15:00+05:30,143.94,144.5,143.62,144.25,876459
2025-01-13 09:15:00+05:30,143.26,143.49,141.36,142.58,2289965
2025-01-13 10:15:00+05:30,142.59,143.4,141.91,142.31,1067995
2025-01-13 11:15:00+05:30,142.24,142.54,140.84,141.06,946683
2025-01-13 12:15:00+05:30,141.0,141.64,140.87,141.26,1016099
2025-01-13 13:15:00+05:30,141.26,141.3,138.56,138.8,1982965
2025-01-13 14:15:00+05:30,138.8,139.16,137.0,137.24,2759548
2025-01-13 15:15:00+05:30,137.25,138.56,137.08,137.99,778516
2025-01-14 09:15:00+05:30,138.6,143.59,138.41,143.16,3724821
